Date,News
10-11-2020,Netflix Acquires Sony Interactive Entertainment for $2.4 Trillion
11-11-2020,Disney+ Launches New Streaming Service Star+ in Central America
12-11-2020,"Apple TV+ Announces New Original Series ""Black Bird"" Season 15 and ""Slow Horses"" Season 15"
13-11-2020,"HBO Max Announces New Original Series ""Our Flag Means Death"" Season 15 and ""Minx"" Season 15"
14-11-2020,"Amazon Prime Video Announces New Original Series ""Reacher"" Season 16 and ""The Peripheral"" Season 16"
15-11-2020,Netflix Acquires Nintendo for $2.5 Trillion
16-11-2020,Disney+ Launches New Streaming Service Star+ in the Caribbean
17-11-2020,"Apple TV+ Announces New Original Series ""Mythic Quest"" Season 18 and ""Little America"" Season 17"
18-11-2020,"HBO Max Announces New Original Series ""The Flight Attendant"" Season 21 and ""Made for Love"" Season 21"
19-11-2020,"Amazon Prime Video Announces New Original Series ""Upload"" Season 17 and ""ZeroZeroZero"" Season 17"
20-11-2020,Netflix Acquires Ubisoft for $2.7 Trillion
21-11-2020,Disney+ Launches New Streaming Service Star+ in South America
22-11-2020,"Apple TV+ Announces New Original Series ""WeCrashed"" Season 16 and ""Pachinko"" Season 16"
23-11-2020,"HBO Max Announces New Original Series ""Barry"" Season 18 and ""Irma Vep"" Season 16"
24-11-2020,"Amazon Prime Video Announces New Original Series ""Paper Girls"" Season 16 and ""The Rings of Power"" Season 16"
25-11-2020,Netflix Acquires Sony Interactive Entertainment for $2.8 Trillion
26-11-2020,Disney+ Launches New Streaming Service Star+ in Central America
27-11-2020,"Apple TV+ Announces New Original Series ""Black Bird"" Season 16 and ""Slow Horses"" Season 16"
28-11-2020,"HBO Max Announces New Original Series ""Our Flag Means Death"" Season 16 and ""Minx"" Season 16"
29-11-2020,"Amazon Prime Video Announces New Original Series ""Reacher"" Season"
30-11-2020,Netflix Acquires Nintendo for $2.9 Trillion
01-12-2020,Disney+ Launches New Streaming Service Star+ in the Caribbean
02-12-2020,"Apple TV+ Announces New Original Series ""Mythic Quest"" Season 19 and ""Little America"" Season 18"
03-12-2020,"HBO Max Announces New Original Series ""The Flight Attendant"" Season 22 and ""Made for Love"" Season 22"
04-12-2020,"Amazon Prime Video Announces New Original Series ""Upload"" Season 18 and ""ZeroZeroZero"" Season 18"
05-12-2020,Netflix Acquires Ubisoft for $3 Trillion
06-12-2020,Disney+ Launches New Streaming Service Star+ in South America
07-12-2020,"Apple TV+ Announces New Original Series ""WeCrashed"" Season 17 and ""Pachinko"" Season 17"
08-12-2020,"HBO Max Announces New Original Series ""Barry"" Season 19 and ""Irma Vep"" Season 17"
09-12-2020,"Amazon Prime Video Announces New Original Series ""Paper Girls"" Season 17 and ""The Rings of Power"" Season 17"
10-12-2020,Netflix Acquires Sony Interactive Entertainment for $3.1 Trillion
11-12-2020,Disney+ Launches New Streaming Service Star+ in Central America
12-12-2020,"Apple TV+ Announces New Original Series ""Black Bird"" Season 17 and ""Slow Horses"" Season 17"
13-12-2020,"HBO Max Announces New Original Series ""Our Flag Means Death"" Season 17 and ""Minx"" Season 17"
14-12-2020,"Amazon Prime Video Announces New Original Series ""Reacher"" Season 18 and ""The Peripheral"" Season 18"
15-12-2020,Netflix Acquires Nintendo for $3.2 Trillion
16-12-2020,Disney+ Launches New Streaming Service Star+ in the Caribbean
17-12-2020,"Apple TV+ Announces New Original Series ""Mythic Quest"" Season 20 and ""Little America"" Season 19"
18-12-2020,"HBO Max Announces New Original Series ""The Flight Attendant"" Season 23 and ""Made for Love"" Season 23"
19-12-2020,"Amazon Prime Video Announces New Original Series ""Upload"" Season 19 and ""ZeroZeroZero"" Season 19"
20-12-2020,Netflix Acquires Ubisoft for $3.3 Trillion
21-12-2020,Disney+ Launches New Streaming Service Star+ in South America
22-12-2020,"Apple TV+ Announces New Original Series ""WeCrashed"" Season 18 and ""Pachinko"" Season 18"
23-12-2020,"HBO Max Announces New Original Series ""Barry"" Season 20 and ""Irma Vep"" Season 18"
24-12-2020,"Amazon Prime Video Announces New Original Series ""Paper Girls"" Season 18 and ""The Rings of Power"" Season 18"
25-12-2020,Netflix Acquires Sony Interactive Entertainment for $3.4 Trillion
26-12-2020,Disney+ Launches New Streaming Service Star+ in Central America
27-12-2020,"Apple TV+ Announces New Original Series ""Black Bird"" Season 18 and ""Slow Horses"" Season 18"
28-12-2020,**HBO Max Announces New
29-12-2020,Netflix Acquires Nintendo for $3.5 Trillion
30-12-2020,Disney+ Launches New Streaming Service Star+ in the Caribbean
31-12-2020,"Apple TV+ Announces New Original Series ""Mythic Quest"" Season 21 and ""Little America"" Season 20"
